,Name,Platform,User_Scoree
315,DJMax Respect,PS4,7.5
316,Dragon Ball FighterZ,PC,7.6
317,Batman: The Enemy Within - Episode 5: Same Stitch,PC,7.6
318,Yakuza Kiwami 2,PS4,8
319,Full Metal Furies,PC,7.4
320,Call of Duty: Black Ops 4,PS4,4.7
321,The Legend of Zelda: Breath of the Wild,NS,8.5
322,Kentucky Route Zero - Act IV,PC,6.2
323,Dark Souls III,PC,8.5
324,Rez Infinite,PS4,7.6
325,Axiom Verge,WiiU,8.6
326,Titanfall 2,PS4,8.4
327,Dark Souls III,PS4,8.9
328,Stardew Valley,XOne,7.7
329,Battlefield 1,PS4,8
330,Stardew Valley,PC,8.6
331,Ori and the Blind Forest: Definitive Edition,PC,8.7
332,Ori and the Blind Forest: Definitive Edition,XOne,7.6
333,Dishonored 2,XOne,7.2
334,Rise of the Tomb Raider: 20 Year Celebration,PS4,8.1
335,L.A. Noire,PS3,7.8
336,FIFA Soccer 12,PC,7.1
337,Metal Gear Solid HD Collection,PS3,8.9
338,Battlefield 3,PC,7.6
339,Dead Space 2,PS3,8.4
340,Deus Ex: Human Revolution,X360,8.3
341,L.A. Noire,X360,7.9
342,Dark Souls,PS3,8.9
343,Call of Duty: Modern Warfare 3,X360,3.4
344,Valkyria Chronicles 4,PS4,7.9
345,West of Loathing,NS,7.5
346,Darkest Dungeon,NS,8.2
347,Moss,PS4,8.2
348,F1 2018,PS4,7.9
349,Radiant Historia: Perfect Chronology,3DS,8.5
350,Flat Heroes,NS,7.9
351,Ni no Kuni II: Revenant Kingdom,PS4,7.9
352,Shantae: Half-Genie Hero - Ultimate Edition,NS,7.8
353,The Banner Saga 3,NS,8
354,Two Point Hospital,PC,7.6
355,428: Shibuya Scramble,PS4,7.9
356,Super Mario Odyssey,NS,8.9
357,The Legend of Zelda: Breath of the Wild,WiiU,8.2
358,Divinity: Original Sin II,PC,8.4
359,Persona 5,PS4,9
360,What Remains of Edith Finch,XOne,7.4
361,Undertale,PS4,6.5
362,Okami HD,PC,7.7
363,Mario Kart 8 Deluxe,NS,8.6
364,SteamWorld Heist: Ultimate Edition,NS,8.4
365,Shovel Knight: Treasure Trove,NS,8.2
366,Bayonetta,PC,8.2
367,NBA 2K17,PS4,6.3
368,XCOM 2,PC,7.2
369,Dishonored 2,PS4,7.9
370,Fire Emblem Fates: Special Edition,3DS,6.7
371,Fire Emblem Fates: Revelation,3DS,5.9
372,Sid Meier's Civilization VI,PC,7.1
373,Battlefield 1,PC,7.1
374,World of Warcraft: Legion,PC,7.3
375,Keep Talking and Nobody Explodes,PS4,6.6
376,Owlboy,PC,7.7
377,XCOM 2,PS4,7.3
378,The Witness,PS4,7.1
379,LIMBO,PC,8.1
380,Assassin's Creed: Brotherhood,PC,8.2
381,Call of Duty: Modern Warfare 3,PS3,3.2
382,Joe Danger: Special Edition,X360,7.7
383,The Witcher 2: Assassins of Kings,PC,8.5
384,Pokemon White Version,DS,7.7
385,DiRT 3,PS3,7
386,Tactics Ogre: Let Us Cling Together,PSP,8.8
387,DiRT 3,X360,7
388,Sprint Vector,PC,7.2
389,Toki Tori 2 +,NS,7.6
390,Bayonetta,NS,8.2
391,SoulCalibur VI,XOne,6
392,F1 2018,XOne,7.5
393,Total War: WARHAMMER II - Rise of the Tomb Kings,PC,7.2
394,Valkyria Chronicles 4,PC,7.8
395,Mega Man X Legacy Collection,NS,8.5
396,Frostpunk,PC,8.5
397,SoulCalibur VI,PS4,7.4
398,F1 2017,PC,7.5
399,Final Fantasy XIV: Stormblood,PS4,8.5
400,Lone Echo,PC,7.6
401,Rez Infinite,PC,7.2
402,Horizon Zero Dawn,PS4,8.3
403,Injustice 2,XOne,8.2
404,What Remains of Edith Finch,PC,8.2
405,XCOM 2: War of the Chosen,PC,7.7
406,N++,XOne,5.2
407,What Remains of Edith Finch,PS4,8.1
408,Wolfenstein II: The New Colossus,XOne,6.2
409,NieR: Automata,PS4,8.9
410,DOOM,XOne,8.4
411,Battlefield 1,XOne,7.7
412,Dark Souls III,XOne,8.7
413,Pokemon Sun,3DS,8.3
414,Pokemon Moon,3DS,8.7
415,The Witness,PC,6.9
416,Fire Emblem Fates: Conquest,3DS,7.3
417,Rocket League,XOne,8.3
418,SteamWorld Heist,WiiU,7.9
419,Pro Evolution Soccer 2017,XOne,6
420,Titanfall 2,XOne,8.3
421,Persona 4 Golden,PSV,8.9
422,Dead Space 2,PC,8.4
423,Rayman Origins,PS3,8.4
424,Pokemon Black Version,DS,7.6
